snapshot_date,gender,collection,rank,title,category,season_tag,product_type,price,compare_at_price,on_sale,color_count,image,handle,tags
2026-07-13,M,mens-bestsellers,1,Conquer Reform Crewneck Short Sleeve - Black,SHORTS/SKIRT,SS,Men:Tops:Short Sleeves,78.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/M1205R_01_b1_s1_a1_1_m180.jpg?v=1736364701,m1205r-conquer-reform-crewneck-short-sleeve-black,b:1:Best Seller;BuilderDropzoneStyle:CNQR;BVCategory:Men;ChinaCatalog;Color:Black:Color;ColorGroup:Black;Content:Builder;FA24MD3-FAMILY;Fabric:Conquer;Filter:DisplaySize:3:Small;Filter:DisplaySize:4:M
2026-07-13,M,mens-bestsellers,2,"7"" Repetition Short - Black",SHORTS/SKIRT,SS,Men:Bottoms:Shorts,78.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/M6154R_01_b1_s1_a1_1_m203.jpg?v=1734054413,m6154r-7-repetition-short-black,b:1:Best Seller;BVCategory:Men;ChinaCatalog;Color:Black:Color;ColorGroup:Black;FA24;FA24Drops-family;Filter:DisplaySize:3:Small;Filter:DisplaySize:4:Medium;Filter:DisplaySize:5:Large;Filter:DisplaySiz
2026-07-13,M,mens-bestsellers,3,Coastline Knit Short Sleeve Polo - Ivory,SHORTS/SKIRT,SS,Men:Tops:Short Sleeves,128.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/M1275R_03299_b2_s1_a1_dSU26_m276.jpg?v=1780924988,m1275r-coastline-knit-short-sleeve-polo-ivory,b:1:Best Seller;BVCategory:Men;ChinaCatalog;Color:Ivory:Color;ColorGroup:White;Computed:IsAlmostGone;Computed:UnderInventoryThreshold:5:for:L;Computed:UnderInventoryThreshold:5:for:S;Filter:DisplaySiz
2026-07-13,M,mens-bestsellers,4,"7"" Coastline Knit Short - Ivory",SHORTS/SKIRT,SS,Men:Bottoms:Shorts,138.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/M6196R_03299_b2_s1_a1_dSU26_m276.jpg?v=1780924313,m6196r-7-coastline-knit-short-ivory,b:1:Best Seller;BVCategory:Men;ChinaCatalog;Color:Ivory:Color;ColorGroup:White;Computed:UnderInventoryThreshold:5:for:M;Filter:DisplaySize:3:Small;Filter:DisplaySize:5:Large;Filter:DisplaySize:6:XL - 
2026-07-13,M,mens-bestsellers,5,Linen Days Short Sleeve Button Up - Bone,SHORTS/SKIRT,SS,Men:Tops:Short Sleeves,198.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/M1270R_03040_b2_s1_a1_dSU26_m276.jpg?v=1780925077,m1270r-linen-days-short-sleeve-button-up-bone,b:1:Best Seller;BVCategory:Men;ChinaCatalog;Color:Bone:Color;ColorGroup:Beige;Filter:DisplaySize:3:Small;Filter:DisplaySize:4:Medium;Filter:DisplaySize:5:Large;Filter:DisplaySize:6:XL - 2XL;Filter:Siz
2026-07-13,M,mens-bestsellers,6,"7"" Linen Days Short - Bone",SHORTS/SKIRT,SS,Men:Bottoms:Shorts,168.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/M6194R_03040_b1_s1_a1_dSU26_m214.jpg?v=1779879527,m6194r-7-linen-days-short-bone,b:1:Best Seller;BVCategory:Men;ChinaCatalog;Color:Bone:Color;ColorGroup:Beige;Filter:DisplaySize:3:Small;Filter:DisplaySize:4:Medium;Filter:DisplaySize:5:Large;Filter:DisplaySize:6:XL - 2XL;Filter:Siz
2026-07-13,M,mens-bestsellers,7,ALO Vapor Crewneck Short Sleeve - White,SHORTS/SKIRT,SS,Men:Tops:Short Sleeves,68.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/M1228R_00_b2_s1_a1_dSU26_m257.jpg?v=1777661502,m1228r-alo-vapor-crewneck-short-sleeve-white,b:1:Best Seller;BuilderDropzoneStyle:VAPR;BVCategory:Men;ChinaCatalog;Color:White:Color;ColorGroup:White;Content:Builder;FA25MBridge-family;Fabric:ALO Vapor;Filter:DisplaySize:3:Small;Filter:DisplaySi
2026-07-13,M,mens-bestsellers,8,"7"" Repetition Short - Navy",SHORTS/SKIRT,SS,Men:Bottoms:Shorts,78.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/M6154R_03842_b2_s1_a1_dSU26_m257.jpg?v=1777661145,m6154r-7-repetition-short-navy,b:1:Best Seller;BVCategory:Men;ChinaCatalog;Color:Navy:Color;ColorGroup:Blue;FA24;FA24Drops-family;Filter:DisplaySize:3:Small;Filter:DisplaySize:4:Medium;Filter:DisplaySize:5:Large;Filter:DisplaySize:
2026-07-13,M,mens-bestsellers,9,Conquer Muscle Tank - Black,BRA/TANK,SS,Men:Tops:Tanks,68.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/M2066R_01_b1_s1_a5_dSP26_m243.jpg?v=1774385765,m2066r-conquer-muscle-tank-black,b:1:Best Seller;BuilderDropzoneStyle:CNQR;BVCategory:Men;ChinaCatalog;Color:Black:Color;ColorGroup:Black;Content:Builder;FA23;FA23-ConquerTank;Fabric:Conquer;Filter:DisplaySize:3:Small;Filter:DisplayS
2026-07-13,M,mens-bestsellers,10,"5"" Adapt Running Short - Black",SHORTS/SKIRT,SS,Men:Bottoms:Shorts,78.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/M6141R_01_b1_s1_a1_dSP26_m243.jpg?v=1774389938,m6097r-5-adapt-running-short-black,alobluemen-family;aloversary20off;b:1:Best Seller;BVCategory:Men;ChinaCatalog;Color:Black:Color;ColorGroup:Black;EcomVideo-Shomari;Filter:DisplaySize:3:Small;Filter:DisplaySize:4:Medium;Filter:Display
2026-07-13,M,mens-bestsellers,11,Double Take Short Sleeve - Bone,SHORTS/SKIRT,SS,Men:Tops:Short Sleeves,88.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/M1224R_03040_b1_s1_a2_1_m221.jpg?v=1759331778,m1224r-double-take-short-sleeve-bone,b:1:Best Seller;BuilderDropzoneStyle:DBLTK;BVCategory:Men;ChinaCatalog;Color:Bone:Color;ColorGroup:Beige;Content:Builder;Fabric:Double Take;Filter:DisplaySize:3:Small;Filter:DisplaySize:4:Medium;Filte
2026-07-13,M,mens-bestsellers,12,"7"" Double Take Short - Bone",SHORTS/SKIRT,SS,Men:Bottoms:Shorts,88.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/M6143R_03040_b1_s1_a1_1_m243.jpg?v=1746630480,m6143r-7-double-take-short-bone,b:1:Best Seller;BVCategory:Men;ChinaCatalog;Color:Bone:Color;ColorGroup:Beige;Fabric:Double Take;Filter:DisplaySize:3:Small;Filter:DisplaySize:4:Medium;Filter:DisplaySize:5:Large;Filter:DisplaySize:6:
2026-07-13,M,mens-bestsellers,13,Light Weight Takeaway Track Pullover - Navy,FLEECE/KNIT,FW,Men:Outerwear:Coverups:Pullovers,148.0,,False,1,https://cdn.shopify.com/s/files/1/2185/2813/files/M3259R_03842_b1_s1_a4_dSP26_m257.jpg?v=1775587153,m3259r-light-weight-takeaway-track-pullover-navy,b:1:Best Seller;BVCategory:Men;Color:Navy:Color;ColorGroup:Blue;ColorwayType:Limited;Computed:UnderInventoryThreshold:5:for:S;EcomVideo-Dale;Filter:DisplaySize:4:Medium;Filter:DisplaySize:5:Large;Filt
